gene_names1	match_protein_names1	gene_names2	match_protein_names2	coexpression
FGA	FIBR	MKI67	Ki67	0.084
MKI67	Ki67	VIM	Vimentin	0.068
MKI67	Ki67	PECAM1	CD31	0
HLA-DRA	HLA-DR	MKI67	Ki67	0.059
MKI67	Ki67	MS4A1	CD20	0.044
MKI67	Ki67	PTPRC	CD45	0.049
CD274	PD-L1	MKI67	Ki67	0.048
MKI67	Ki67	SDC1	synd	0.099
CD8A	CD8	MKI67	Ki67	0
FOXP3	FOXP3	PECAM1	CD31	0
FOXP3	FOXP3	VIM	Vimentin	0
CD44	CD44	FOXP3	FOXP3	0
FOXP3	FOXP3	IDH1	IDH1	0
FOXP3	FOXP3	SDC1	synd	0
CD8A	CD8	FOXP3	FOXP3	0.094
FOXP3	FOXP3	SIRPA	SIRP	0
CD274	PD-L1	FOXP3	FOXP3	0.042
FOXP3	FOXP3	PTPRC	CD45	0.062
FOXP3	FOXP3	HLA-DRA	HLA-DR	0.061
FOXP3	FOXP3	MS4A1	CD20	0.074
CD14	CD14	FOXP3	FOXP3	0.1
FOXP3	FOXP3	HLA-A	HLA-A	0
SDC1	synd	SIRPA	SIRP	0
